doc,word,score
Copy of A. Priyadarsini et al. 2023.pdf,rice field,0.3079941562899656
Copy of A. Priyadarsini et al. 2023.pdf,rice,0.27668974432769916
Copy of A. Priyadarsini et al. 2023.pdf,methanol,0.21023823411197715
Copy of A. Priyadarsini et al. 2023.pdf,methane,0.20741605639177482
Copy of A. Priyadarsini et al. 2023.pdf,field,0.20536332000174004
Copy of A. Priyadarsini et al. 2023.pdf,mm,0.2009872068520457
Copy of A. Priyadarsini et al. 2023.pdf,al,0.18001248888170499
Copy of A. Priyadarsini et al. 2023.pdf,et,0.1713371882127072
Copy of A. Priyadarsini et al. 2023.pdf,et al,0.1713371882127072
Copy of A. Priyadarsini et al. 2023.pdf,field soil,0.13971926762172704
Copy of A. Priyadarsini et al. 2023.pdf,soil,0.128292060796976
Copy of A. Priyadarsini et al. 2023.pdf,ph mm,0.12600569498199754
Copy of A. Priyadarsini et al. 2023.pdf,methanotroph,0.12498793662020319
Copy of A. Priyadarsini et al. 2023.pdf,methanol production,0.11330747257348074
Copy of A. Priyadarsini et al. 2023.pdf,production,0.10628049168438355
Copy of A. Priyadarsini et al. 2023.pdf,batch mode,0.10171782761610315
Copy of A. Priyadarsini et al. 2023.pdf,patel,0.09696256823208318
Copy of A. Priyadarsini et al. 2023.pdf,consortium,0.09051097329967625
Copy of A. Priyadarsini et al. 2023.pdf,culture,0.08409529364479086
Copy of A. Priyadarsini et al. 2023.pdf,mode,0.08139811052362728
Copy of A. Priyadarsini et al. 2023.pdf,μm,0.08124166695395615
Copy of A. Priyadarsini et al. 2023.pdf,amplification,0.08066513617118147
Copy of A. Priyadarsini et al. 2023.pdf,genomic dna,0.08066513617118147
Copy of A. Priyadarsini et al. 2023.pdf,priyadarsini,0.08066513617118147
Copy of A. Priyadarsini et al. 2023.pdf,enrich,0.07830841820595259
Copy of A. Priyadarsini et al. 2023.pdf,pcr,0.07800352546504609
Copy of A. Priyadarsini et al. 2023.pdf,capsulatus,0.07633207041900603
Copy of A. Priyadarsini et al. 2023.pdf,lane,0.07457979282058458
Copy of A. Priyadarsini et al. 2023.pdf,dna,0.07221481507018325
Copy of A. Priyadarsini et al. 2023.pdf,ph,0.07056320333111955
Copy of A. Priyadarsini et al. 2023.pdf,batch,0.06897731035160974
Copy of A. Priyadarsini et al. 2023.pdf,formate mm,0.06556374310059981
Copy of A. Priyadarsini et al. 2023.pdf,mm patel,0.0610198304895692
Copy of A. Priyadarsini et al. 2023.pdf,reports,0.0610198304895692
Copy of A. Priyadarsini et al. 2023.pdf,smmo,0.05952971897518123
Copy of A. Priyadarsini et al. 2023.pdf,patel et,0.05867453724452389
Copy of A. Priyadarsini et al. 2023.pdf,mm μm,0.05866555357904107
Copy of A. Priyadarsini et al. 2023.pdf,priyadarsini et,0.05866555357904107
Copy of A. Priyadarsini et al. 2023.pdf,pure strain,0.05866555357904107
Copy of A. Priyadarsini et al. 2023.pdf,rhizosphere,0.05866555357904107
Copy of Adegbola thesis High Density Cultures.pdf,methanol,0.3260629683786622
Copy of Adegbola thesis High Density Cultures.pdf,sensor,0.22537265920656432
Copy of Adegbola thesis High Density Cultures.pdf,smmo,0.2211166819837099
Copy of Adegbola thesis High Density Cultures.pdf,growth,0.19991752737318752
Copy of Adegbola thesis High Density Cultures.pdf,smmo activity,0.16595928638400892
Copy of Adegbola thesis High Density Cultures.pdf,ammonium,0.1608585363309052
Copy of Adegbola thesis High Density Cultures.pdf,figure,0.15798014548799402
Copy of Adegbola thesis High Density Cultures.pdf,trichosporium,0.15671013784858198
Copy of Adegbola thesis High Density Cultures.pdf,biomass,0.1566794127776707
Copy of Adegbola thesis High Density Cultures.pdf,cell,0.1434321388437033
