doc,word,score
Copy of A. Priyadarsini et al. 2023.pdf,methanol,95
Copy of A. Priyadarsini et al. 2023.pdf,methane,90
Copy of A. Priyadarsini et al. 2023.pdf,mm,89
Copy of A. Priyadarsini et al. 2023.pdf,al,83
Copy of A. Priyadarsini et al. 2023.pdf,et,79
Copy of A. Priyadarsini et al. 2023.pdf,et al,79
Copy of A. Priyadarsini et al. 2023.pdf,rice,53
Copy of A. Priyadarsini et al. 2023.pdf,methanotroph,51
Copy of A. Priyadarsini et al. 2023.pdf,production,50
Copy of A. Priyadarsini et al. 2023.pdf,field,44
Copy of A. Priyadarsini et al. 2023.pdf,rice field,42
Copy of A. Priyadarsini et al. 2023.pdf,methanol production,39
Copy of A. Priyadarsini et al. 2023.pdf,culture,38
Copy of A. Priyadarsini et al. 2023.pdf,soil,33
Copy of A. Priyadarsini et al. 2023.pdf,ph,30
Copy of A. Priyadarsini et al. 2023.pdf,batch,27
Copy of A. Priyadarsini et al. 2023.pdf,patel,27
Copy of A. Priyadarsini et al. 2023.pdf,mode,25
Copy of A. Priyadarsini et al. 2023.pdf,batch mode,24
Copy of A. Priyadarsini et al. 2023.pdf,capsulatus,24
Copy of A. Priyadarsini et al. 2023.pdf,air,23
Copy of A. Priyadarsini et al. 2023.pdf,consortium,22
Copy of A. Priyadarsini et al. 2023.pdf,field soil,22
Copy of A. Priyadarsini et al. 2023.pdf,ph mm,21
Copy of A. Priyadarsini et al. 2023.pdf,energy,20
Copy of A. Priyadarsini et al. 2023.pdf,lee,20
Copy of A. Priyadarsini et al. 2023.pdf,sample,20
Copy of A. Priyadarsini et al. 2023.pdf,bacteria,19
Copy of A. Priyadarsini et al. 2023.pdf,formate,18
Copy of A. Priyadarsini et al. 2023.pdf,natural,18
Copy of A. Priyadarsini et al. 2023.pdf,type,18
Copy of A. Priyadarsini et al. 2023.pdf,μm,18
Copy of A. Priyadarsini et al. 2023.pdf,conversion,17
Copy of A. Priyadarsini et al. 2023.pdf,methane methanol,17
Copy of A. Priyadarsini et al. 2023.pdf,methanotrophic,17
Copy of A. Priyadarsini et al. 2023.pdf,smmo,17
Copy of A. Priyadarsini et al. 2023.pdf,dna,16
Copy of A. Priyadarsini et al. 2023.pdf,microbiol,16
Copy of A. Priyadarsini et al. 2023.pdf,strain,16
Copy of A. Priyadarsini et al. 2023.pdf,technology,16
Copy of Adegbola thesis High Density Cultures.pdf,methanol,238
Copy of Adegbola thesis High Density Cultures.pdf,growth,143
Copy of Adegbola thesis High Density Cultures.pdf,cell,109
Copy of Adegbola thesis High Density Cultures.pdf,smmo,102
Copy of Adegbola thesis High Density Cultures.pdf,trichosporium,95
Copy of Adegbola thesis High Density Cultures.pdf,methane,92
Copy of Adegbola thesis High Density Cultures.pdf,biomass,91
Copy of Adegbola thesis High Density Cultures.pdf,al,89
Copy of Adegbola thesis High Density Cultures.pdf,effect,84
Copy of Adegbola thesis High Density Cultures.pdf,figure,84
Copy of Adegbola thesis High Density Cultures.pdf,et,79
Copy of Adegbola thesis High Density Cultures.pdf,et al,78
Copy of Adegbola thesis High Density Cultures.pdf,sensor,78
Copy of Adegbola thesis High Density Cultures.pdf,rate,72
Copy of Adegbola thesis High Density Cultures.pdf,activity,65
Copy of Adegbola thesis High Density Cultures.pdf,ammonium,65
Copy of Adegbola thesis High Density Cultures.pdf,yield,61
