doc,metric,word,score
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,rice field,0.3079941562899656
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,rice,0.27668974432769916
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,methanol,0.21023823411197715
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,methane,0.20741605639177482
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,field,0.20536332000174004
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,mm,0.2009872068520457
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,al,0.18001248888170499
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,et,0.1713371882127072
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,et al,0.1713371882127072
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,field soil,0.13971926762172704
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,soil,0.128292060796976
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,ph mm,0.12600569498199754
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,methanotroph,0.12498793662020319
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,methanol production,0.11330747257348074
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,production,0.10628049168438355
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,batch mode,0.10171782761610315
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,patel,0.09696256823208318
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,consortium,0.09051097329967625
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,culture,0.08409529364479086
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,mode,0.08139811052362728
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,μm,0.08124166695395615
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,amplification,0.08066513617118147
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,genomic dna,0.08066513617118147
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,priyadarsini,0.08066513617118147
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,enrich,0.07830841820595259
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,pcr,0.07800352546504609
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,capsulatus,0.07633207041900603
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,lane,0.07457979282058458
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,dna,0.07221481507018325
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,ph,0.07056320333111955
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,batch,0.06897731035160974
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,formate mm,0.06556374310059981
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,mm patel,0.0610198304895692
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,reports,0.0610198304895692
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,smmo,0.05952971897518123
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,patel et,0.05867453724452389
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,mm μm,0.05866555357904107
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,priyadarsini et,0.05866555357904107
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,pure strain,0.05866555357904107
Copy of A. Priyadarsini et al. 2023.pdf,TFIDF,rhizosphere,0.05866555357904107
Copy of A. Priyadarsini et al. 2023.pdf,Count,methanol,95.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,methane,90.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,mm,89.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,al,83.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,et,79.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,et al,79.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,rice,53.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,methanotroph,51.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,production,50.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,field,44.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,rice field,42.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,methanol production,39.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,culture,38.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,soil,33.0
